被引年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,   基础科学 ,硕士文献,12853篇,博士文献,5319篇,全部文献,18172篇,被核心期刊引用,10277篇,被SCI刊引用,329篇,被EI刊引用,3015篇,被CSSCI刊引用,1784篇,被CSCD刊引用,8466篇,2009,224篇,2008,2492篇,2007,4034篇,2006,4217篇,2005,2699篇,2004,1892篇,2003,1129篇,2002,776篇,2001,456篇,2000,175篇,1999,20篇,1998,13篇,1997,12篇,1996,3篇,1995,6篇,1994,7篇,1993,2篇,1992,3篇,1991,2篇,1990,1篇
2009,   工程科技Ⅰ辑 ,硕士文献,21299篇,博士文献,6085篇,全部文献,27384篇,被核心期刊引用,17105篇,被SCI刊引用,326篇,被EI刊引用,5332篇,被CSSCI刊引用,1209篇,被CSCD刊引用,13878篇,2010,1篇,2009,234篇,2008,3224篇,2007,5951篇,2006,6250篇,2005,4450篇,2004,3343篇,2003,1863篇,2002,1236篇,2001,528篇,2000,219篇,1999,22篇,1998,19篇,1997,17篇,1996,8篇,1995,6篇,1994,3篇,1993,3篇,1992,3篇,1991,1篇
2009,   工程科技Ⅱ辑 ,硕士文献,37397篇,博士文献,7536篇,全部文献,44933篇,被核心期刊引用,25187篇,被SCI刊引用,139篇,被EI刊引用,10953篇,被CSSCI刊引用,1755篇,被CSCD刊引用,18374篇,2012,1篇,2010,6篇,2009,511篇,2008,5598篇,2007,10064篇,2006,10056篇,2005,7183篇,2004,5297篇,2003,3093篇,2002,1798篇,2001,858篇,2000,362篇,1999,45篇,1998,15篇,1997,10篇,1996,9篇,1995,10篇,1994,6篇,1992,6篇,1991,2篇
2009,   农业科技 ,硕士文献,37397篇,博士文献,7536篇,全部文献,44933篇,被核心期刊引用,25187篇,被SCI刊引用,139篇,被EI刊引用,10953篇,被CSSCI刊引用,1755篇,被CSCD刊引用,18374篇,2012,1篇,2010,6篇,2009,511篇,2008,5598篇,2007,10064篇,2006,10056篇,2005,7183篇,2004,5297篇,2003,3093篇,2002,1798篇,2001,858篇,2000,362篇,1999,45篇,1998,15篇,1997,10篇,1996,9篇,1995,10篇,1994,6篇,1992,6篇,1991,2篇
2009,   医药卫生科技 ,硕士文献,37397篇,博士文献,7536篇,全部文献,44933篇,被核心期刊引用,25187篇,被SCI刊引用,139篇,被EI刊引用,10953篇,被CSSCI刊引用,1755篇,被CSCD刊引用,18374篇,2012,1篇,2010,6篇,2009,511篇,2008,5598篇,2007,10064篇,2006,10056篇,2005,7183篇,2004,5297篇,2003,3093篇,2002,1798篇,2001,858篇,2000,362篇,1999,45篇,1998,15篇,1997,10篇,1996,9篇,1995,10篇,1994,6篇,1992,6篇,1991,2篇
2009,   哲学与人文科学 ,硕士文献,16008篇,博士文献,3010篇,全部文献,19018篇,被核心期刊引用,5788篇,被EI刊引用,32篇,被CSSCI刊引用,4930篇,被CSCD刊引用,935篇,2010,1篇,2009,81篇,2008,1902篇,2007,4697篇,2006,4272篇,2005,2872篇,2004,2290篇,2003,1402篇,2002,858篇,2001,435篇,2000,184篇,1999,8篇,1998,2篇,1997,7篇,1993,1篇,1992,3篇,1989,2篇,1986,1篇,,,,,,
2009,   社会科学Ⅰ辑 ,硕士文献,16539篇,博士文献,2023篇,全部文献,18562篇,被核心期刊引用,3714篇,被SCI刊引用,1篇,被EI刊引用,24篇,被CSSCI刊引用,3406篇,被CSCD刊引用,321篇,2010,1篇,2009,117篇,2008,1952篇,2007,5246篇,2006,4415篇,2005,2943篇,2004,1866篇,2003,1066篇,2002,551篇,2001,286篇,2000,101篇,1999,4篇,1998,4篇,1997,1篇,1996,3篇,1995,2篇,1994,1篇,1993,3篇,,,,
2009,   社会科学Ⅱ辑 ,硕士文献,19596篇,博士文献,1727篇,全部文献,21323篇,被核心期刊引用,7839篇,被EI刊引用,21篇,被CSSCI刊引用,5892篇,被CSCD刊引用,909篇,2009,105篇,2008,2662篇,2007,5462篇,2006,5098篇,2005,3090篇,2004,2158篇,2003,1395篇,2002,797篇,2001,412篇,2000,132篇,1999,4篇,1998,1篇,1997,4篇,1995,1篇,1994,1篇,1993,1篇,,,,,,,,,,
2009,   信息科技 ,硕士文献,42809篇,博士文献,6992篇,全部文献,49801篇,被核心期刊引用,18965篇,被SCI刊引用,162篇,被EI刊引用,5138篇,被CSSCI刊引用,2735篇,被CSCD刊引用,13238篇,2009,615篇,2008,7331篇,2007,12058篇,2006,11413篇,2005,7378篇,2004,4973篇,2003,2771篇,2002,1963篇,2001,854篇,2000,332篇,1999,50篇,1998,37篇,1997,13篇,1996,7篇,1995,2篇,1994,2篇,1993,1篇,1988,1篇,,,,
2009,   经济与管理科学 ,硕士文献,38486篇,博士文献,7773篇,全部文献,46259篇,被核心期刊引用,16676篇,被SCI刊引用,8篇,被EI刊引用,918篇,被CSSCI刊引用,11794篇,被CSCD刊引用,4721篇,2010,4篇,2009,432篇,2008,6027篇,2007,11656篇,2006,10580篇,2005,7200篇,2004,4710篇,2003,2863篇,2002,1644篇,2001,782篇,2000,317篇,1999,25篇,1998,10篇,1997,3篇,1996,1篇,1995,3篇,1993,1篇,1990,1篇,,,,
2010,   基础科学 ,硕士文献,20210篇,博士文献,7891篇,全部文献,28101篇,被核心期刊引用,15130篇,被SCI刊引用,468篇,被EI刊引用,4241篇,被CSSCI刊引用,2509篇,被CSCD刊引用,12632篇,2012,1篇,2011,1篇,2010,217篇,2009,3240篇,2008,5346篇,2007,5586篇,2006,5124篇,2005,3339篇,2004,2144篇,2003,1311篇,2002,927篇,2001,551篇,2000,208篇,1999,33篇,1998,22篇,1997,11篇,1996,3篇,1995,6篇,1994,8篇,1993,2篇
2010,   工程科技Ⅰ辑 ,硕士文献,34881篇,博士文献,9223篇,全部文献,44104篇,被核心期刊引用,25630篇,被SCI刊引用,450篇,被EI刊引用,7763篇,被CSSCI刊引用,1827篇,被CSCD刊引用,21114篇,2014,1篇,2012,1篇,2011,2篇,2010,315篇,2009,4876篇,2008,7549篇,2007,8896篇,2006,7892篇,2005,5616篇,2004,4078篇,2003,2277篇,2002,1567篇,2001,641篇,2000,282篇,1999,27篇,1998,20篇,1997,21篇,1996,14篇,1995,9篇,1994,4篇
2010,   工程科技Ⅱ辑 ,硕士文献,56005篇,博士文献,10099篇,全部文献,66104篇,被核心期刊引用,34813篇,被SCI刊引用,169篇,被EI刊引用,14622篇,被CSSCI刊引用,2489篇,被CSCD刊引用,25560篇,2012,2篇,2011,2篇,2010,620篇,2009,7638篇,2008,11209篇,2007,13565篇,2006,11754篇,2005,8294篇,2004,5992篇,2003,3428篇,2002,2104篇,2001,957篇,2000,418篇,1999,56篇,1998,16篇,1997,13篇,1996,8篇,1995,9篇,1994,6篇,1993,1篇
2010,   农业科技 ,硕士文献,16669篇,博士文献,5139篇,全部文献,21808篇,被核心期刊引用,15282篇,被SCI刊引用,16篇,被EI刊引用,1536篇,被CSSCI刊引用,786篇,被CSCD刊引用,13152篇,2011,1篇,2010,118篇,2009,2564篇,2008,3726篇,2007,4038篇,2006,3459篇,2005,2798篇,2004,1980篇,2003,1460篇,2002,797篇,2001,575篇,2000,242篇,1999,20篇,1998,12篇,1997,5篇,1996,6篇,1995,2篇,1994,3篇,1992,1篇,1990,1篇
2010,   医药卫生科技 ,硕士文献,10080篇,博士文献,3886篇,全部文献,13966篇,被核心期刊引用,5435篇,被SCI刊引用,27篇,被EI刊引用,393篇,被CSSCI刊引用,417篇,被CSCD刊引用,4701篇,2010,63篇,2009,1911篇,2008,2756篇,2007,3088篇,2006,2343篇,2005,1560篇,2004,979篇,2003,595篇,2002,367篇,2001,203篇,2000,48篇,1999,11篇,1998,9篇,1997,10篇,1996,2篇,1995,5篇,1994,6篇,1993,2篇,1992,2篇,1991,4篇
