ID,国家,人均购买力,比中国
5,Luxembourg,"$105,100 ","$88,400 "
4,Macau,"$110,000 ","$93,300 "
113,Macedonia,"$14,900 ","($1,800)"
218,Madagascar,"$1,600 ","($15,100)"
223,Malawi,"$1,200 ","($15,500)"
71,Malaysia,"$29,100 ","$12,400 "
93,Maldives,"$19,200 ","$2,500 "
206,Mali,"$2,200 ","($14,500)"
43,Malta,"$41,900 ","$25,200 "
186,Marshall Islands,"$3,600 ","($13,100)"
173,Mauritania,"$4,500 ","($12,200)"
86,Mauritius,"$22,300 ","$5,600 "
90,Mexico,"$19,900 ","$3,200 "
189,"Micronesia, Federated States of","$3,400 ","($13,300)"
162,Moldova,"$6,700 ","($10,000)"
3,Monaco,"$115,700 ","$99,000 "
120,Mongolia,"$13,000 ","($3,700)"
99,Montenegro,"$17,800 ","$1,100 "
60,Montserrat,"$34,000 ","$17,300 "
147,Morocco,"$8,600 ","($8,100)"
222,Mozambique,"$1,300 ","($15,400)"
135,Namibia,"$11,200 ","($5,500)"
129,Nauru,"$12,300 ","($4,400)"
195,Nepal,"$2,700 ","($14,000)"
23,Netherlands,"$53,900 ","$37,200 "
66,New Caledonia,"$31,100 ","$14,400 "
48,New Zealand,"$39,000 ","$22,300 "
165,Nicaragua,"$5,900 ","($10,800)"
224,Niger,"$1,200 ","($15,500)"
166,Nigeria,"$5,900 ","($10,800)"
168,Niue,"$5,800 ","($10,900)"
84,Northern Mariana Islands,"$24,500 ","$7,800 "
11,Norway,"$72,100 ","$55,400 "
37,Oman,"$46,000 ","$29,300 "
171,Pakistan,"$5,400 ","($11,300)"
115,Palau,"$14,700 ","($2,000)"
80,Panama,"$25,400 ","$8,700 "
184,Papua New Guinea,"$3,700 ","($13,000)"
123,Paraguay,"$12,800 ","($3,900)"
119,Peru,"$13,500 ","($3,200)"
148,Philippines,"$8,400 ","($8,300)"
69,Poland,"$29,600 ","$12,900 "
67,Portugal,"$30,500 ","$13,800 "
47,Puerto Rico,"$39,400 ","$22,700 "
2,Qatar,"$124,100 ","$107,400 "
83,Romania,"$24,600 ","$7,900 "
74,Russia,"$27,900 ","$11,200 "
208,Rwanda,"$2,100 ","($14,600)"
153,"Saint Helena, Ascension, and Tristan da Cunha","$7,800 ","($8,900)"
73,Saint Kitts and Nevis,"$28,200 ","$11,500 "
117,Saint Lucia,"$14,400 ","($2,300)"
92,Saint Martin,"$19,300 ","$2,600 "
36,Saint Pierre and Miquelon,"$46,200 ","$29,500 "
133,Saint Vincent and the Grenadines,"$11,500 ","($5,200)"
169,Samoa,"$5,700 ","($11,000)"
20,San Marino,"$59,000 ","$42,300 "
191,Sao Tome and Principe,"$3,200 ","($13,500)"
22,Saudi Arabia,"$54,500 ","$37,800 "
188,Senegal,"$3,500 ","($13,200)"
111,Serbia,"$15,100 ","($1,600)"
70,Seychelles,"$29,300 ","$12,600 "
219,Sierra Leone,"$1,600 ","($15,100)"
7,Singapore,"$94,100 ","$77,400 "
14,Sint Maarten,"$66,800 ","$50,100 "
61,Slovakia,"$33,100 ","$16,400 "
58,Slovenia,"$34,500 ","$17,800 "
207,Solomon Islands,"$2,200 ","($14,500)"
118,South Africa,"$13,600 ","($3,100)"
220,South Sudan,"$1,600 ","($15,100)"
49,Spain,"$38,400 ","$21,700 "
121,Sri Lanka,"$12,900 ","($3,800)"
174,Sudan,"$4,300 ","($12,400)"
114,Suriname,"$14,900 ","($1,800)"
26,Sweden,"$51,200 ","$34,500 "
16,Switzerland,"$62,100 ","$45,400 "
194,Syria,"$2,900 ","($13,800)"
28,Taiwan,"$50,500 ","$33,800 "
192,Tajikistan,"$3,200 ","($13,500)"
193,Tanzania,"$3,200 ","($13,500)"
98,Thailand,"$17,900 ","$1,200 "
164,Timor-Leste,"$6,000 ","($10,700)"
215,Togo,"$1,700 ","($15,000)"
225,Tokelau,"$1,000 ","($15,700)"
167,Tonga,"$5,900 ","($10,800)"
65,Trinidad and Tobago,"$31,300 ","$14,600 "
131,Tunisia,"$11,900 ","($4,800)"
77,Turkey,"$27,000 ","$10,300 "
96,Turkmenistan,"$18,200 ","$1,500 "
72,Turks and Caicos Islands,"$29,100 ","$12,400 "
180,Tuvalu,"$3,800 ","($12,900)"
200,Uganda,"$2,400 ","($14,300)"
146,Ukraine,"$8,800 ","($7,900)"
13,United Arab Emirates,"$68,600 ","$51,900 "
39,United Kingdom,"$44,300 ","$27,600 "
19,United States,"$59,800 ","$43,100 "
85,Uruguay,"$22,400 ","$5,700 "
158,Uzbekistan,"$6,900 ","($9,800)"
196,Vanuatu,"$2,700 ","($14,000)"
126,Venezuela,"$12,500 ","($4,200)"
159,Vietnam,"$6,900 ","($9,800)"
54,Virgin Islands,"$37,000 ","$20,300 "
181,Wallis and Futuna,"$3,800 ","($12,900)"
175,West Bank,"$4,300 ","($12,400)"
198,Western Sahara,"$2,500 ","($14,200)"
199,Yemen,"$2,500 ","($14,200)"
178,Zambia,"$4,000 ","($12,700)"
203,Zimbabwe,"$2,300 ","($14,400)"
